500,00-13-a2-00-40-a1-ee-d3,2,128,90,79,16,39,0,24,33,35,24,24,0,19,0,24,27,27,0,8,0,8,0,8,16,24,24,8,0,0,0,8,19,19,0,0,0,0,8,0,8,19,8,8,0,16,8,8,8,8,0,0,0,0,8,0,0,8,0,0,0,8,8,0,8,0
1000,00-13-a2-00-40-98-98-4f,0,128,0,39,16,16,0,35,33,0,0,0,27,24,0,27,27,24,0,19,0,0,0,19,16,0,0,0,19,8,0,19,19,19,0,0,0,0,0,19,8,8,0,0,8,8,0,8,8,8,0,8,0,0,0,8,0,8,0,0,8,0,0,8,8,8
200,00-13-a2-00-40-a1-f1-43,2,128,93,80,0,35,0,30,0,32,0,0,0,24,0,19,0,27,0,0,0,30,0,0,0,16,0,8,0,8,0,0,0,8,0,8,0,8,0,19,0,8,0,0,0,24,0,8,0,8,0,0,0,19,0,8,0,0,0,0,0,8,0,8,0,8
500,00-13-a2-00-40-a1-ee-d3,0,128,16,32,0,16,0,32,0,32,0,30,0,27,0,27,0,27,0,0,0,0,0,16,0,16,0,19,0,19,0,19,0,19,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8
1000,00-13-a2-00-40-98-98-4f,1,128,53,35,16,35,0,35,30,33,16,30,0,19,0,24,0,27,0,0,0,8,0,24,19,19,8,19,0,19,0,24,0,19,0,0,0,0,0,8,8,19,0,8,8,0,0,8,8,8,8,0,0,8,0,8,8,8,0,8,8,8,0,8,8,8
200,00-13-a2-00-40-a1-f1-43,0,128,16,40,16,16,24,30,33,24,0,30,16,27,16,24,27,27,0,0,0,8,24,19,16,19,0,19,19,19,19,19,19,19,0,8,0,0,0,0,8,0,0,8,8,8,8,8,8,8,0,0,0,0,8,8,0,0,0,8,8,8,8,0,8,8
500,00-13-a2-00-40-a1-ee-d3,1,128,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,00-13-a2-00-40-98-98-4f,2,128,94,81,16,35,0,30,27,33,0,19,19,19,0,24,27,19,0,8,8,0,0,24,19,16,0,0,8,0,0,24,19,19,0,0,0,0,0,0,8,19,0,24,0,0,0,19,8,19,0,8,0,8,0,0,0,8,0,8,0,0,0,0,8,0
200,00-13-a2-00-40-a1-f1-43,1,128,0,39,16,35,16,35,16,33,0,0,25,27,8,27,25,27,0,19,19,0,0,19,19,19,0,0,19,19,0,19,19,19,0,0,0,8,0,19,0,19,0,0,0,8,8,8,0,8,0,8,8,0,0,8,8,8,0,0,8,8,0,8,8,8
500,00-13-a2-00-40-a1-ee-d3,2,128,89,77,35,27,0,30,35,35,0,30,27,27,0,19,24,24,0,8,0,19,0,19,8,19,0,0,19,19,0,19,19,24,0,0,0,0,0,16,0,0,8,19,16,0,0,19,8,8,0,0,8,8,0,19,19,8,8,8,8,8,0,8,0,8
1000,00-13-a2-00-40-98-98-4f,0,128,0,39,24,39,0,19,24,16,0,0,24,24,0,27,30,27,0,19,19,19,0,0,19,0,0,0,19,0,0,19,19,19,0,0,8,0,0,0,8,0,0,0,8,0,0,8,8,8,0,8,8,8,0,0,8,0,0,0,8,0,0,8,8,8
200,00-13-a2-00-40-a1-f1-43,2,128,92,80,27,33,24,30,27,25,0,8,8,27,19,8,16,27,0,8,8,19,8,25,19,0,0,0,0,8,8,0,0,0,0,16,16,8,8,0,24,8,0,0,0,0,0,19,0,8,0,0,0,8,0,0,24,8,0,0,0,8,0,8,8,0
500,00-13-a2-00-40-a1-ee-d3,0,128,16,35,0,35,0,35,0,35,0,30,0,27,0,25,0,25,0,0,0,0,0,8,0,8,0,19,0,19,0,16,0,16,0,8,8,8,0,8,8,8,0,8,8,8,0,0,8,0,0,0,8,0,0,0,8,0,0,8,8,8,0,0,8,0
1000,00-13-a2-00-40-98-98-4f,1,128,48,39,0,19,0,35,0,33,0,0,0,19,0,30,0,27,0,0,0,0,0,24,0,19,0,0,0,8,0,24,0,19,0,8,8,0,0,19,8,19,0,8,8,0,0,0,8,8,0,8,8,0,0,8,8,8,0,8,8,0,0,0,8,8
200,00-13-a2-00-40-a1-f1-43,0,128,16,39,0,27,0,35,0,30,0,0,0,19,0,27,0,27,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,19,0,0,0,0,0,19,0,0,0,0,0,8,0,8,0,8,0,8,0,0,0,8,0,0,0,0,0,8,0,8,0,8
